序号,相对时间(s),R（Ω）,X（Ω）,时间
384,41.7,16832.5,-2097.47,2026/01/29 20:54:01
385,41.8,16813.1,-2099.1,2026/01/29 20:54:01
386,41.91,16825.9,-2095.58,2026/01/29 20:54:01
387,42.02,16828.2,-2095.02,2026/01/29 20:54:01
388,42.13,16849.8,-2094.48,2026/01/29 20:54:01
389,42.24,16858.2,-2091.22,2026/01/29 20:54:01
390,42.35,16842.8,-2094.77,2026/01/29 20:54:01
391,42.46,16788.1,-2098.97,2026/01/29 20:54:01
392,42.57,16784.1,-2101.42,2026/01/29 20:54:01
393,42.68,16812.6,-2095.85,2026/01/29 20:54:02
394,42.79,16838.2,-2096.78,2026/01/29 20:54:02
395,42.89,16859.9,-2090.2,2026/01/29 20:54:02
396,43,16855,-2094.08,2026/01/29 20:54:02
397,43.11,16821.6,-2093.61,2026/01/29 20:54:02
398,43.22,16787.8,-2101.01,2026/01/29 20:54:02
399,43.33,16802.3,-2098.76,2026/01/29 20:54:02
400,43.44,16803.3,-2098.13,2026/01/29 20:54:02
401,43.55,16836.5,-2095.06,2026/01/29 20:54:02
402,43.66,16849.1,-2092.11,2026/01/29 20:54:03
403,43.77,16845.6,-2093.86,2026/01/29 20:54:03
404,43.88,16815.7,-2096.31,2026/01/29 20:54:03
405,43.98,16784.1,-2099.53,2026/01/29 20:54:03
406,44.09,16811.5,-2095.46,2026/01/29 20:54:03
407,44.2,16819.2,-2098.09,2026/01/29 20:54:03
408,44.31,16843,-2094.26,2026/01/29 20:54:03
409,44.42,16854.1,-2092.5,2026/01/29 20:54:03
410,44.53,16835.9,-2093.49,2026/01/29 20:54:03
411,44.64,16792.4,-2097.81,2026/01/29 20:54:04
412,44.75,16796.4,-2100.21,2026/01/29 20:54:04
413,44.86,16799.4,-2098.03,2026/01/29 20:54:04
414,44.96,16837.9,-2094.14,2026/01/29 20:54:04
415,45.07,16849.9,-2093.99,2026/01/29 20:54:04
416,45.18,16846.3,-2092.76,2026/01/29 20:54:04
417,45.29,16804.3,-2098.48,2026/01/29 20:54:04
418,45.4,16787.3,-2099.43,2026/01/29 20:54:04
419,45.51,16801.9,-2097.67,2026/01/29 20:54:04
420,45.62,16812.6,-2097.72,2026/01/29 20:54:05
421,45.73,16832.3,-2097.47,2026/01/29 20:54:05
422,45.84,16849.4,-2089.79,2026/01/29 20:54:05
423,45.94,16823.9,-2096.98,2026/01/29 20:54:05
424,46.05,16781.9,-2098.71,2026/01/29 20:54:05
425,46.16,16776.8,-2100.8,2026/01/29 20:54:05
426,46.27,16791.6,-2099.12,2026/01/29 20:54:05
427,46.38,16812.4,-2098.52,2026/01/29 20:54:05
428,46.49,16829.3,-2095.64,2026/01/29 20:54:05
429,46.6,16846.2,-2094.46,2026/01/29 20:54:06
430,46.71,16795.1,-2096.35,2026/01/29 20:54:06
431,46.82,16762.8,-2103,2026/01/29 20:54:06
432,46.93,16778.5,-2101.11,2026/01/29 20:54:06
433,47.03,16797,-2099.46,2026/01/29 20:54:06
434,47.14,16824.9,-2095.94,2026/01/29 20:54:06
435,47.25,16839.2,-2093.51,2026/01/29 20:54:06
436,47.36,16823,-2094.79,2026/01/29 20:54:06
437,47.47,16762.1,-2101.92,2026/01/29 20:54:06
438,47.58,16749.7,-2102.32,2026/01/29 20:54:06
439,47.69,16791.2,-2100.89,2026/01/29 20:54:07
440,47.8,16800.3,-2098.06,2026/01/29 20:54:07
441,47.91,16828.1,-2096.92,2026/01/29 20:54:07
442,48.02,16841.6,-2093.43,2026/01/29 20:54:07
443,48.12,16824.2,-2093.87,2026/01/29 20:54:07
444,48.23,16762,-2101.67,2026/01/29 20:54:07
