序号,相对时间(s),R（Ω）,X（Ω）,时间
360,39.11,17937.5,-2478.42,2026/01/29 23:28:28
361,39.21,17936.6,-2482.2,2026/01/29 23:28:28
362,39.32,17940.1,-2479.14,2026/01/29 23:28:28
363,39.43,17941.2,-2478.77,2026/01/29 23:28:28
364,39.54,17949.2,-2477.32,2026/01/29 23:28:28
365,39.65,17941.5,-2479.08,2026/01/29 23:28:29
366,39.76,17945.2,-2477.89,2026/01/29 23:28:29
367,39.87,17943.4,-2480.51,2026/01/29 23:28:29
368,39.98,17943.2,-2478.91,2026/01/29 23:28:29
369,40.09,17948.4,-2480.54,2026/01/29 23:28:29
370,40.19,17939.7,-2482.32,2026/01/29 23:28:29
371,40.3,17882.7,-2493.16,2026/01/29 23:28:29
372,40.41,17869.9,-2496.72,2026/01/29 23:28:29
373,40.52,17936.9,-2480.87,2026/01/29 23:28:29
374,40.63,17934.7,-2481.02,2026/01/29 23:28:30
375,40.74,17939.3,-2481.63,2026/01/29 23:28:30
376,40.85,17938.8,-2479.96,2026/01/29 23:28:30
377,40.96,17941.4,-2479.99,2026/01/29 23:28:30
378,41.07,17941.6,-2478.29,2026/01/29 23:28:30
379,41.17,17940.6,-2479.9,2026/01/29 23:28:30
380,41.28,17939.6,-2480.77,2026/01/29 23:28:30
381,41.39,17860.6,-2499.59,2026/01/29 23:28:30
382,41.5,17880.2,-2491.94,2026/01/29 23:28:30
383,41.61,17937.1,-2481.59,2026/01/29 23:28:31
384,41.72,17938.4,-2479.64,2026/01/29 23:28:31
385,41.83,17944.4,-2479.79,2026/01/29 23:28:31
386,41.94,17942.3,-2478.97,2026/01/29 23:28:31
387,42.05,17936.5,-2482.06,2026/01/29 23:28:31
388,42.15,17853.9,-2499.93,2026/01/29 23:28:31
389,42.26,17848.9,-2500.75,2026/01/29 23:28:31
390,42.37,17920.6,-2484.01,2026/01/29 23:28:31
391,42.48,17940.1,-2481.5,2026/01/29 23:28:31
392,42.59,17936.6,-2481.07,2026/01/29 23:28:32
393,42.7,17941.9,-2482.03,2026/01/29 23:28:32
394,42.81,17939.5,-2482.23,2026/01/29 23:28:32
395,42.92,17935,-2482.57,2026/01/29 23:28:32
396,43.03,17869.9,-2497.16,2026/01/29 23:28:32
397,43.14,17853.5,-2499.78,2026/01/29 23:28:32
398,43.24,17923.9,-2485.19,2026/01/29 23:28:32
399,43.35,17936.8,-2483.55,2026/01/29 23:28:32
400,43.46,17939.9,-2480.31,2026/01/29 23:28:32
401,43.57,17940.3,-2483.15,2026/01/29 23:28:32
402,43.68,17942.8,-2480.98,2026/01/29 23:28:33
403,43.79,17920.5,-2485.72,2026/01/29 23:28:33
404,43.9,17874.1,-2498.71,2026/01/29 23:28:33
